2026-08-05 15:49:20 | INFO     | app.main:60 | Application startup complete — Apcotex R&D API v1.0.0
2026-08-05 17:00:56 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103724731A/en "HTTP/1.1 200 OK"
2026-08-05 17:00:56 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:00:56 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:00:56 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:01 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US5708132A/en...
2026-08-05 17:01:02 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US5708132A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:02 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:02 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:02 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:15 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US6043318A/en...
2026-08-05 17:01:16 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US6043318A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:16 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:16 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:16 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:24 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/WO2017095087A1/en...
2026-08-05 17:01:25 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/WO2017095087A1/en "HTTP/1.1 200 OK"
2026-08-05 17:01:25 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:25 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:25 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:35 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103289150A/en...
2026-08-05 17:01:36 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103289150A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:36 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:36 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:36 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:42 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN102464768A/en...
2026-08-05 17:01:43 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN102464768A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:43 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:43 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:43 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:51 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103254359A/en...
2026-08-05 17:01:52 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103254359A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:52 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:52 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:52 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:00 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN1865306A/en...
2026-08-05 17:02:01 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN1865306A/en "HTTP/1.1 200 OK"
2026-08-05 17:02:01 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:02:01 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:02:01 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:06 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US5770660A/zh...
2026-08-05 17:02:07 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US5770660A/zh "HTTP/1.1 200 OK"
2026-08-05 17:02:07 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:02:07 | WARNING  | app.services.pipeline.fetcher_service:88 | Could not find specific patent sections. Dumping entire body text.
2026-08-05 17:02:07 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:02:07 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:14 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US20160002447A1/en...
2026-08-05 17:02:15 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US20160002447A1/en "HTTP/1.1 200 OK"
2026-08-05 17:02:15 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:02:15 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:02:15 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:23 | INFO     | app.services.pipeline.orchestrator:47 | Run 347ff2d6-01cf-4a3c-946a-5685c861bd8d transitioned to EXTRACTING
2026-08-05 17:02:23 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:23 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:24 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:24 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:24 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:24 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:24 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:24 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:25 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:25 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:25 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:25 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:25 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:25 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:26 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:26 | ERROR    | app.services.pipeline.orchestrator:50 | Run 347ff2d6-01cf-4a3c-946a-5685c861bd8d FAILED: Failed to extract structured data from the relevant patents.
2026-08-05 17:02:26 | INFO     | app.services.pipeline.orchestrator:47 | Run 347ff2d6-01cf-4a3c-946a-5685c861bd8d transitioned to FAILED
2026-08-05 17:03:45 | INFO     | app.services.research_service:98 | Created ResearchRun 5fb92325-1cdd-4756-b3e2-4c3cd400899a for user 8984967d-9920-44c6-a919-11e35af09630
2026-08-05 17:03:45 | INFO     | app.services.pipeline.orchestrator:47 | Run 5fb92325-1cdd-4756-b3e2-4c3cd400899a transitioned to SEARCHING
2026-08-05 17:03:45 | INFO     | app.services.pipeline.search_service:39 | Generating search strategy for Low Acrylonitrile NBR...
2026-08-05 17:03:45 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:03:52 | INFO     | app.services.pipeline.search_service:64 | Executing Serper API search for 4 queries...
2026-08-05 17:03:54 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:56 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:57 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:58 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:58 | INFO     | app.services.pipeline.orchestrator:47 | Run 5fb92325-1cdd-4756-b3e2-4c3cd400899a transitioned to FILTERING
2026-08-05 17:03:58 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103724731A/en...
2026-08-05 17:03:59 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103724731A/en "HTTP/1.1 200 OK"
2026-08-05 17:03:59 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:03:59 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:03:59 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:04:05 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103665265A/en...
2026-08-05 17:04:06 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103665265A/en "HTTP/1.1 200 OK"
2026-08-05 17:04:06 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:04:06 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:04:06 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:04:09 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US4182820A/en...
2026-08-05 17:04:10 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US4182820A/en "HTTP/1.1 200 OK"
2026-08-05 17:04:10 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:04:10 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:04:10 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:04:19 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN105400485A/en...
2026-08-05 17:04:25 | INFO     | app.main:57 | Application startup complete — Apcotex R&D API v1.0.0
2026-08-05 17:09:24 | INFO     | app.main:57 | Application startup complete — Apcotex R&D API v1.0.0
2026-08-05 17:12:49 | INFO     | app.services.auth_service:53 | User 'admin' logged in successfully.
2026-08-05 17:13:02 | INFO     | app.main:57 | Application startup complete — Apcotex R&D API v1.0.0
2026-08-05 17:13:02 | INFO     | app.services.research_service:98 | Created ResearchRun b22ce6d7-3419-44e7-8aff-1dc1d1f6f95b for user 8984967d-9920-44c6-a919-11e35af09630
2026-08-05 17:13:02 | INFO     | app.services.pipeline.orchestrator:47 | Run b22ce6d7-3419-44e7-8aff-1dc1d1f6f95b transitioned to SEARCHING
2026-08-05 17:13:02 | INFO     | app.services.pipeline.search_service:39 | Generating search strategy for Low Acrylonitrile NBR...
2026-08-05 17:13:02 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:12 | INFO     | app.services.pipeline.search_service:64 | Executing Serper API search for 4 queries...
2026-08-05 17:13:14 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:13:15 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:13:17 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:13:18 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:13:18 | INFO     | app.services.pipeline.orchestrator:47 | Run b22ce6d7-3419-44e7-8aff-1dc1d1f6f95b transitioned to FILTERING
2026-08-05 17:13:18 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US5770660A/en...
2026-08-05 17:13:19 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US4226953A/en...
2026-08-05 17:13:19 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103724731A/en...
2026-08-05 17:13:19 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN106084342A/en...
2026-08-05 17:13:19 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US5708132A/en...
2026-08-05 17:13:20 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103289150A/en...
2026-08-05 17:13:20 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/WO2014034889A1/en...
2026-08-05 17:13:20 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN1865306A/en...
2026-08-05 17:13:21 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US7183354B2/en...
2026-08-05 17:13:21 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/JP2006131787A/en...
2026-08-05 17:13:22 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN106084342A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:22 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103724731A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:22 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US4226953A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:22 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/WO2014034889A1/en "HTTP/1.1 200 OK"
2026-08-05 17:13:22 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/JP2006131787A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:22 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:22 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:22 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:27 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:28 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US5708132A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:28 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103289150A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:28 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN1865306A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:28 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US5770660A/en "HTTP/1.1 200 OK"
2026-08-05 17:13:28 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US7183354B2/en "HTTP/1.1 200 OK"
2026-08-05 17:13:28 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:28 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:34 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:34 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:34 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:35 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:35 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:35 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:35 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:13:36 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:36 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:43 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:43 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:50 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:50 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:57 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:57 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:57 | ERROR    | app.services.pipeline.extractor_service:68 | Failed to classify patent: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 3.324921598s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}
2026-08-05 17:13:57 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:57 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:13:58 | ERROR    | app.services.pipeline.extractor_service:68 | Failed to classify patent: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 2.540452649s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '2s'}]}}
2026-08-05 17:13:58 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:13:58 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
